微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ICWVFEO6q,【那位在家训练83天的学生找到了】刘传贺是安徽宿州一所中职学校的体育特长生，即将在今年夏天迎来高考。为了保持竞技状态、考上心仪的大学，从1月19日到4月10日，他一直坚持训练没有放松。车轱辘、空心砖……都成了他简易的训练器械。自律，让我们离梦想更近新华网的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/Bz5fJz4jlx07CpZmb1G001041200dM2f0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495292&ssig=h2RW4fZrVD&KID=unistore,video",无,2020-04-12 10:13,微博视频号,6477,371,536
ICWtnzJwu,【#美国历史首次全美各州处于重大灾难状态#】据美国约翰斯·霍普金斯大学实时监测系统显示，截至美东时间4月11日下午6点，美国已经至少有新冠病毒感染病例524903例，#美国新冠肺炎死亡病例超2万#。与大约24小时前相比，美国确诊病例数至少增加了32663例，死亡病例增加了2039例。11日，美国总统特朗普批准怀俄明州进入“重大灾难”状态。至此，美国出现历史上第一次全美各州同时宣布处于“重大灾难”状态的情况。另据美国海军的一份声明，截至美东时间周六，美国罗斯福号航空母舰上已有550名水兵新冠病毒检测呈阳性。             [组图共2张]      原图                             ,,"http://ww2.sinaimg.cn/large/eaaf2affly1gdqphf79czj20m80m8gnu.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdqphfjsp6j20m80m8wgf.jpg",无,无,2020-04-12 09:03,无,1800,118,292
ICW3Rwaap,【杨柳飞絮来袭如何防过敏？】每年逢春，雌株杨柳树的飞絮都会如约而至。北京4月4日起，已进入飘絮期。易过敏人群户外出行该如何防护？飞絮多为什么杨柳树不一砍了之？杨柳飞絮会传播新冠病毒吗…戳↓↓一起学习。@首都园林绿化  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/eaaf2affly1gdqno1rg4fj20gu0sr0x7.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdqno1zd3fj20gq0hw0u7.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdqno2742wj20gr0fb0tv.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdqno2br7wj20gp0f7jso.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdqno2ohqaj20ch0qggok.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdqno306d6j20c90j0q51.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdqno36n7aj20ci0pr77c.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdqno3f4ooj20im0n941b.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdqno3otvuj20is0l8q5n.jpg",无,无,2020-04-12 08:00,无,617,244,220
ICSgmlKJB,【缅怀王震将军】①30年南征北战，创建湘鄂赣苏区，率领红二方面军参加长征；②1942年，王震和359旅官兵开发南泥湾，树立了“自己动手、丰衣足食”的光辉旗帜；③他是新疆农垦事业的开拓者；④解放后，鼎力支持中国科技事业的发展。今天是他诞辰112周年，缅怀！#立国之战#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/eaaf2affly1gdq5n6u52tj20i20ar74z.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdq5n7c84oj20dw09hgmt.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq5n7m8xvj20dv0a9757.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq5n7ws0lj20dl092glu.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq5n896chj20dw0ivt9b.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq5n8mz7jj20a00cnwex.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdq5n8xj8zj20fe0a73z5.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq5n9bjhuj20dh0admy2.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdq5n9kby7j20dw0afq43.jpg",无,无,2020-04-11 22:20,无,5273,842,616
ICRL26mWw,【抱拳了委内瑞拉总统双手抱拳致意中国医疗专家组】4月8日，在委内瑞拉加拉加斯总统府，总统马杜罗向中国医疗专家组抱拳致意。马杜罗表示，感谢中方对委内瑞拉提供的支持，感谢中国抗疫医疗专家组来委，与当地医疗人员和专家分享抗击新冠疫情的经验与委方共同完善防疫措施。海客新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/P9E34GPvlx07CosEzSz601041200eGej0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622495307&ssig=QtgFdAl08Q&KID=unistore,video",无,2020-04-11 21:03,微博视频号,1928,173,237
ICRhrEYxo,国家#卫健委发布援鄂援汉疾控人员名单#！致敬逆行出征者，向他们学习  [组图共11张] 原图 ,,"http://ww3.sinaimg.cn/large/eaaf2affly1gdq0m0uaytj20u02hqk55.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdq0m1crt2j20u02hq7ed.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdq0m262omj20u02hq49l.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdq0m2rfujj20u02b0485.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdq0m34fgvj20u029cqdi.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdq0m3ivs5j20u02hqqe7.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdq0m3xst7j20u02hqwra.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gdq0m4jbnzj20u02hqqgt.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdq0m50rqlj20u02fo14i.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdq0m5ppx2j20u02fonaq.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gdq0m69qntj20u02kigxa.jpg",无,无,2020-04-11 19:50,无,3730,593,479
ICQZ2wSKj,到西部去、到基层去、到祖国最需要的地方去。2020年#西部计划#期待你的加入！  原图 ,,http://wx1.sinaimg.cn/large/eaaf2affly1gdq18wznm3j20gi18n4bj.jpg,无,无,2020-04-11 19:04,无,2080,327,622
ICQo8u49i,国家医保局：目前重症患者人均治疗费用超过15万元，少数危重症患者治疗费用达到几十万元，甚至超过百万元，医保均按规定予以报销。  原图 ,,http://wx4.sinaimg.cn/large/eaaf2affly1gdpymeybwlj20qy0qa46t.jpg,无,无,2020-04-11 17:34,无,3393,284,367
ICPMbeG3Q,【敲黑板！2020年征兵报名时间确定，你准备好了吗】2020征兵男兵报名已开始：4月1日至8月15日；女兵报名时间：6月26日至8月15日18时。  央广军事的微博视频  ,,无,"http://f.video.weibocdn.com/JQRqo1kFlx07Coo5h7Dq0104120049UU0E010.mp4?label=mp4_hd&template=368x640.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622495308&ssig=THT90KP30L&KID=unistore,video",无,2020-04-11 16:00,微博视频号,2123,275,407
ICPcZjdBB,【重磅！#多所高校公布博士扩招规模#】近日，中国人民大学、南开大学、东南大学、上海交通大学等多所院校陆续发布招生简章，明确博士研究生扩招人数。早在2018年，教育部就已提出，2020年我国博士生招生总规模达到10万人。你准备好了吗 （ @中国青年报 ）  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/eaaf2affly1gdptesto0xj20u00jdte1.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdptet1h36j20rn0e0q7i.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdptet6j7qj20tc0jsgrv.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdptethy9lj20qy1bv0xx.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gdptetr3wuj20pt1e0teh.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gdptetx0x3j20qy14itdk.jpg",无,无,2020-04-11 14:33,无,1187,203,276
